identifier,adv_loss,loss_ema,loss_ema_start,LC,label_smooth,aux_loss,mse_scaling,aug_prob,resize_method,g_lr,d_lr,nbeta1,policy,comment
fastgan,hinge,FALSE,0,0,0.2,mse,0,1,simple,0.0002,0.0002,0.5,"['translation','cutout']",FastGAN (MSE)
plaquegan,hinge,FALSE,0,0,0.2,percept,0,1,simple,0.0002,0.0002,0.5,"['translation','cutout']",PlaqueGAN (LPIPS)
